path,method,method_reason,container,video_codec,audio_codec,audio_channels,height,hdr,duration_ms,size_gb,subtitle_class,n_text_tracks,header_ms,header_bytes,moov_position,index_source,n_entries,coverage_pct,first_bytes_ms,seek_land_ms,seek_land_offset,t_playable_ms,t_seek_ms,subs_ms,subs_bytes_out,subs_needed_standalone,ok,error
lib2:1941484b,transcode,video codec hevc,matroska,hevc,dts,6,1080,none,3250251,3.29,,0,129,350317,,seekhead,1678,99.8,,121,1310024847,129,250,,,0,1,
lib2:d47c43c5,transcode,video codec hevc,matroska,hevc,aac,2,1080,none,2611882,0.34,,1,129,306535,,seekhead,1724,100.0,,35,165917723,129,164,,,0,1,
lib2:448564c7,transcode,video codec hevc,matroska,hevc,aac,2,1080,none,4017089,1.0,,0,172,284811,,seekhead,1260,99.8,,39,323838880,172,211,,,0,1,
lib2:ef21ec06,transcode,audio codec eac3,matroska,h264,eac3,2,1080,none,2555929,2.91,,2,127,350203,,seekhead,3510,99.9,,65,1458786738,127,192,,,0,1,
lib2:129cf612,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2542816,1.13,,0,150,379405,,seekhead,3335,99.9,,123,579815585,150,273,,,0,1,
lib2:8c362624,transcode,video codec hevc,matroska,hevc,aac,2,1080,none,2636031,1.36,,1,61,271732,,seekhead,533,99.7,,43,695889419,61,104,,,0,1,
lib2:a8d1b4c4,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2728607,0.44,,1,111,296631,,seekhead,1349,99.8,,34,208036503,111,145,,,0,1,
lib2:a420357e,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1502144,0.41,,1,67,284857,,seekhead,905,99.7,,60,341813466,67,127,,,0,1,
lib2:ba1ccdb4,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2583164,0.67,,0,152,2036618,end,sample-tables,810,99.8,,38,407984213,152,190,,,0,1,
lib2:7269f8cb,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2561893,0.53,,1,116,307802,,seekhead,1848,100.0,,50,282517965,116,166,,,0,1,
lib2:3fea1565,transcode,audio codec ac3,matroska,h264,ac3,6,718,none,2529504,1.29,,1,112,300399,,seekhead,1520,99.9,,37,684763308,112,149,,,0,1,
lib2:365e7e52,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,3636384,2.56,,0,245,524288,,seekhead,9584,100.0,,32,929349977,245,277,,,0,1,
lib2:4e4a3d4d,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2582580,0.67,,0,166,2467466,end,sample-tables,650,99.9,,35,345431224,166,201,,,0,1,
lib2:890da264,transcode,video codec hevc,matroska,hevc,ac3,2,480,none,1475648,0.18,,1,94,283919,,seekhead,876,99.8,,67,162535131,94,161,,,0,1,
lib2:91eaf0a9,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3154240,3.72,,1,107,296113,,seekhead,1580,100.0,,37,1540552415,107,144,,,0,1,
lib2:574bf533,transcode,video codec hevc,matroska,hevc,eac3,6,960,none,2776863,0.72,,2,484,331500,,seekhead,2033,100.0,,1986,376018982,484,2470,,,0,1,
lib2:d7e56e68,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2650304,1.9,,0,144,296567,,seekhead,1544,99.9,,182,956365012,144,326,,,0,1,
lib2:5f9212d7,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3595904,3.43,,4,149,362073,,seekhead,3778,100.0,,54,1231797926,149,203,,,0,1,
lib2:6b7f0d42,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2539167,0.66,,0,129,2412072,end,sample-tables,611,99.9,,112,354736150,129,241,,,0,1,
lib2:79cf784a,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1465280,0.45,,3,105,309005,,seekhead,1756,99.8,,36,407523455,105,141,,,0,1,
lib2:a92d95bf,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2528288,0.7,,0,150,383388,,seekhead,3430,100.0,,79,359711866,150,229,,,0,1,
lib2:33f8bbda,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2638144,0.69,,1,190,2425730,end,sample-tables,264,99.8,,39,305206713,190,229,,,0,1,
lib2:d5ae2917,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2758720,0.8,,1,111,324506,,seekhead,2374,99.9,,46,440261593,111,157,,,0,1,
lib2:a68cb5e7,transcode,video codec hevc,matroska,hevc,aac,6,960,none,634417,0.14,,28,142,357391,,seekhead,3179,99.7,,29,145637436,142,171,,,0,1,
lib2:e6a0cb51,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2591255,0.82,,0,112,2359296,faststart,sample-tables,432,99.9,,41,412235415,112,153,,,0,1,
lib2:2654e7b2,transcode,audio codec eac3,matroska,h264,eac3,2,1080,none,4017313,4.64,,2,239,399221,,seekhead,5466,100.0,,65,1493154690,239,304,,,0,1,
lib2:9297baa5,transcode,video codec hevc,matroska,hevc,eac3,2,1080,none,2566304,0.79,,1,102,291731,,seekhead,1212,100.0,,37,376117454,102,139,,,0,1,
lib2:3b66b04c,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1290528,1.54,,2,77,305231,,seekhead,1705,99.9,,40,1540926525,77,117,,,0,1,
lib2:ae0a6e44,transcode,video codec hevc,matroska,hevc,dts,6,1080,none,4680022,3.63,,0,156,460112,,seekhead,5375,100.0,,53,968019621,156,209,,,0,1,
lib2:732eb298,transcode,video codec hevc,matroska,hevc,ac3,2,1080,none,2518528,0.68,,0,159,378192,,seekhead,3240,100.0,,801,352683187,159,960,,,0,1,
lib2:11afa819,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2596736,2.23,,1,120,315043,,seekhead,2220,100.0,,38,1169299872,120,158,,,0,1,
lib2:e760d72a,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1325344,0.43,,0,149,318736,,seekhead,1520,99.7,,38,427260119,149,187,,,0,1,
lib2:6cd5b7b1,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,1728000,1.87,,0,440,2621440,faststart,sample-tables,450,99.8,46,63,1403953790,486,63,,,0,1,
lib2:b5c6a813,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2638048,0.86,,1,132,320662,,seekhead,2214,99.8,,46,444375447,132,178,,,0,1,
lib2:4e5547e8,transcode,audio codec ac3,matroska,h264,ac3,6,1080,none,3111136,2.32,,1,84,298284,,seekhead,1400,100.0,,39,993146168,84,123,,,0,1,
lib2:a1bd4231,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,3380832,4.09,,38,631,1043715,,seekhead,28992,100.0,,36,1566824960,631,667,,,0,1,
lib2:a7b75816,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2553568,0.96,,0,227,359692,,seekhead,2550,99.9,,71,490171324,227,298,,,0,1,
lib2:7edda336,transcode,video codec hevc,matroska,hevc,dts,6,1080,none,2768982,4.62,,0,198,470921,,seekhead,4959,100.0,,56,2204974024,198,254,,,0,1,
lib2:4faf26fb,remux,container matroska,matroska,h264,aac,2,480,none,1355136,0.18,,2,43,279123,,seekhead,308,99.9,,43,173093703,43,86,,,0,1,
lib2:890a3aa3,transcode,video codec hevc,matroska,hevc,dts,6,1080,none,3615062,2.74,,0,159,417896,,seekhead,4258,100.0,,52,1004975078,159,211,,,0,1,
lib2:88dfb424,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,1276874,0.21,,1,59,278864,,seekhead,641,99.5,,35,216998223,59,94,,,0,1,
lib2:06edd911,transcode,audio codec eac3,matroska,av1,eac3,6,1080,none,3515721,0.79,,23,542,880946,,seekhead,23141,99.9,,231,377295251,542,773,,,0,1,
lib2:854375c7,remux,container matroska,matroska,h264,aac,2,1080,none,5466090,4.16,,2,219,432175,,seekhead,6866,100.0,,68,979618845,219,287,,,0,1,
lib2:cb102bfa,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,2061216,2.58,,42,638,992385,,seekhead,26912,99.9,,141,1646541009,638,779,,,0,1,
lib2:688a5ed5,transcode,audio codec ac3,matroska,h264,ac3,6,1080,none,2551549,1.44,,2,164,324630,,seekhead,2463,99.9,,34,708636920,164,198,,,0,1,
lib2:2fc4be32,transcode,video codec hevc,mov,hevc,aac,6,1080,none,1677023,0.44,,0,219,1536462,end,sample-tables,418,100.0,,35,339592262,219,254,,,0,1,
lib2:7a7f1205,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,3513115,1.24,,2,128,335061,,seekhead,2819,99.8,,71,456257204,128,199,,,0,1,
lib2:45a9a0d7,transcode,video codec hevc,matroska,hevc,ac3,2,1080,none,3443080,1.17,,0,190,450451,,seekhead,5540,100.0,,47,437421264,190,237,,,0,1,
lib2:797c878e,transcode,video codec hevc,matroska,hevc,eac3,6,1080,hdr10,3338656,1.62,,33,546,929881,,seekhead,24730,96.9,,47,635942878,546,593,,,0,1,
lib2:3cab4924,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2574720,1.14,,0,158,380233,,seekhead,3290,100.0,,41,572649942,158,199,,,0,1,
lib2:35045206,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1314976,0.66,,22,200,464346,,seekhead,1501,100.0,,38,654067921,200,238,,,0,1,
lib2:1c9c093f,remux,container matroska,matroska,h264,aac,2,1080,none,2434069,1.77,,1,176,291409,,seekhead,1129,99.6,,43,939013583,176,219,,,0,1,
lib2:beccaf2c,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2625408,0.5,,1,64,289207,,seekhead,1054,100.0,,47,230666764,64,111,,,0,1,
lib2:0c4106ce,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3257056,1.83,,26,393,731453,,seekhead,17498,100.0,,39,730540666,393,432,,,0,1,
lib2:9bad8abb,transcode,video codec hevc,mov,hevc,aac,6,816,none,1356981,0.35,,0,143,1439635,end,sample-tables,356,99.6,,47,339683702,143,190,,,0,1,
lib2:0315bd73,transcode,video codec hevc,matroska,hevc,eac3,6,960,none,3037632,0.79,,42,435,829208,,seekhead,2802,99.9,,45,381587324,435,480,,,0,1,
lib2:2831d0ed,transcode,video codec mpeg4,avi,mpeg4,mp3,2,368,none,2671169,0.34,,0,12,262144,absent,absent,0,,,,,12,,,,0,1,
lib1:61afba85,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,6019904,8.87,,4,215,441736,,seekhead,6553,99.9,,40,1935244287,215,255,,,0,1,
lib2:3b5d7040,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2570848,0.87,,0,141,389149,,seekhead,3622,100.0,,34,438661170,141,175,,,0,1,
lib2:0d1fec11,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2761926,1.04,,0,215,405474,,seekhead,4150,100.0,,80,487274731,215,295,,,0,1,
lib2:85d9cc57,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3301062,2.3,,1,155,299786,,seekhead,1544,100.0,,134,910107447,155,289,,,0,1,
lib2:2c0af719,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3012542,1.92,,38,597,989967,,seekhead,26916,100.0,,140,865894366,597,737,,,0,1,
lib2:940a1466,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2610525,2.89,,2,136,332973,,seekhead,2878,99.9,,50,1465467036,136,186,,,0,1,
lib2:6aa0f54a,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2633094,0.41,,1,78,291692,,seekhead,1119,99.9,,45,209565603,78,123,,,0,1,
