path,method,method_reason,container,video_codec,audio_codec,audio_channels,height,hdr,duration_ms,size_gb,subtitle_class,n_text_tracks,header_ms,header_bytes,moov_position,index_source,n_entries,coverage_pct,first_bytes_ms,seek_land_ms,seek_land_offset,t_playable_ms,t_seek_ms,subs_ms,subs_bytes_out,subs_needed_standalone,ok,error
lib2:334ee5aa,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1296320,0.19,,1,83,498475,,seekhead,756,99.6,,35,189540403,83,118,,,0,1,
lib2:c6317090,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2639305,0.68,,0,226,2511956,end,sample-tables,613,99.9,,44,357133524,226,270,,,0,1,
lib2:16604473,remux,container matroska,matroska,h264,aac,2,384,none,2386720,0.2,,0,37,277844,,seekhead,762,99.8,,22,111612284,37,59,,,0,1,
lib1:13b312e8,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,5158117,2.53,,0,475,731642,,seekhead,7123,100.0,,72,556076536,475,547,,,0,1,
lib2:b7a3f21f,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2583122,0.67,,0,136,2041750,end,sample-tables,760,99.8,,36,347442266,136,172,,,0,1,
lib2:6a53eecd,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1853852,1.15,,34,427,781908,,seekhead,19129,99.9,,29,862970869,427,456,,,0,1,
lib2:43103082,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1302093,0.21,,1,85,449399,,seekhead,676,99.4,,128,209607145,85,213,,,0,1,
lib2:8dbb6f73,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,3446920,4.19,,30,558,951662,,seekhead,25634,100.0,,38,1583330377,558,596,,,0,1,
lib2:df2fb2bb,transcode,audio codec ac3,matroska,h264,ac3,6,720,none,2612160,0.8,,0,70,293769,,seekhead,527,99.8,,41,425668874,70,111,,,0,1,
lib2:8307e8a2,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2576574,2.71,,2,147,340110,,seekhead,3140,99.9,,33,1337078007,147,180,,,0,1,
lib2:12c43b1f,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1293543,0.89,,17,202,475124,,seekhead,7878,99.7,,36,884938039,202,238,,,0,1,
lib2:e48bc30c,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2639475,0.48,,1,85,289746,,seekhead,1047,99.9,,39,265373698,85,124,,,0,1,
lib2:cf20d254,transcode,video codec hevc,matroska,hevc,aac,6,960,none,2017199,0.73,,2,360,307643,,seekhead,1739,99.9,,59,501806400,360,419,,,0,1,
lib2:8485825a,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2729759,0.45,,1,82,284173,,seekhead,833,99.7,,36,209894135,82,118,,,0,1,
lib2:6f17ec53,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1322496,0.75,,27,257,533104,,seekhead,9921,99.9,,40,746447662,257,297,,,0,1,
lib2:8d86381f,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2641056,0.76,,1,116,322089,,seekhead,2295,99.9,,42,387408776,116,158,,,0,1,
lib2:6ca4f214,transcode,video codec mpeg4,avi,mpeg4,ac3,2,352,none,2671964,0.34,,0,12,262144,absent,absent,0,,,,,12,,,,0,1,
lib2:52940a2e,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,3403570,0.77,,1,78,307677,,seekhead,1837,99.9,,23,285754550,78,101,,,0,1,
lib2:19da67e4,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2760424,0.72,,0,140,2610072,end,sample-tables,471,99.7,,54,338707275,140,194,,,0,1,
lib2:98a21c48,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1151616,1.22,,2,92,300247,,seekhead,1499,100.0,,22,1311495754,92,114,,,0,1,
lib2:2fe5f06c,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2646592,0.69,,0,241,2523382,end,sample-tables,699,100.0,,37,336063961,241,278,,,0,1,
lib2:7a7fb1ce,transcode,video codec mpeg4,avi,mpeg4,mp3,2,352,none,2675006,0.34,,0,13,262144,absent,absent,0,,,,,13,,,,0,1,
