path,container,ok,index_source,n_entries,first_pts_ms,last_pts_ms,duration_ms,coverage_pct,bytes_read,n_reads,index_ms,moov_position,size_gb,fallback_ms,fallback_entries,error
lib2:5130dd46,matroska,1,seekhead,644,0,3482360,3483403,100.0,276455,2,83,,4.37,,,
lib2:a334163f,matroska,1,seekhead,1478,0,2544676,2547520,99.9,298084,2,95,,1.02,,,
lib2:d0ca3d21,matroska,1,seekhead,3002,0,3249872,3259776,99.7,341362,2,163,,2.57,,,
lib2:71abafc0,other,0,,,,,,,,,,,0.34,,,unrecognised container
lib2:12d8495f,matroska,1,seekhead,3156,0,2886000,2886080,100.0,339684,2,130,,3.35,,,
lib2:fbad4926,matroska,1,seekhead,3044,0,3099096,3100576,100.0,336017,2,148,,3.2,,,
lib2:641b1119,matroska,1,seekhead,1827,0,3342130,3344361,99.9,307904,2,103,,0.91,,,
lib2:0696369f,matroska,1,seekhead,21062,0,3552257,3557179,99.9,824162,4,505,,1.02,,,
lib2:0f5c8224,matroska,1,seekhead,22403,0,3473026,3478183,99.9,862154,4,623,,1.0,,,
lib2:a92d95bf,matroska,1,seekhead,3430,0,2527525,2528288,100.0,383388,2,145,,0.7,,,
lib2:f6cae164,matroska,1,seekhead,1224,0,2589796,2598638,99.7,294836,2,109,,0.76,,,
lib2:23029186,matroska,1,seekhead,1549,0,1276442,1276960,100.0,296713,2,99,,0.49,,,
lib2:852afdb6,matroska,1,seekhead,2529,0,2549088,2550180,100.0,326375,2,119,,1.46,,,
lib2:51701f4c,matroska,1,seekhead,2461,0,2577283,2579285,99.9,322099,2,104,,1.47,,,
lib2:b54bea8f,matroska,1,seekhead,668,0,1242441,1250079,99.4,279572,2,64,,0.21,,,
lib2:8e474786,matroska,1,seekhead,3665,0,2634632,2634688,100.0,390839,2,145,,0.73,,,
lib2:a34cf62c,matroska,1,seekhead,20562,0,3486000,3487000,100.0,814779,4,481,,3.84,,,
lib2:91616fa2,matroska,1,seekhead,2314,0,3447240,3455776,99.8,314686,2,124,,2.68,,,
lib2:49434a7b,matroska,1,seekhead,2072,0,2716714,2718336,99.9,310644,2,113,,2.87,,,
lib2:b44b87ca,matroska,1,seekhead,2977,0,2560725,2561351,100.0,338322,2,116,,0.51,,,
lib2:ec15aeff,matroska,1,seekhead,502,0,1585503,1589549,99.7,272662,2,72,,2.18,,,
lib2:f9a59039,matroska,1,seekhead,1340,0,2505220,2507231,99.9,295122,2,112,,0.89,,,
